title,abstract,trial
"""Homeopathy for menopausal symptoms in breast cancer survivors: a preliminary randomized controlled trial.""","""OBJECTIVES: To carry out a preliminary trial evaluating the effectiveness of two types of homeopathy for the treatment of menopausal symptoms in breast cancer survivors. DESIGN: Randomized, double-blinded, placebo-controlled. SETTINGS/LOCATION: Private medical clinic, Seattle, WA. SUBJECTS: Women with a history of breast cancer who had completed all surgery, chemotherapy, and radiation treatment and who had an average of at least three hot flashes per day for the previous month. INTERVENTIONS: Subjects were randomized to receive either an individualized homeopathic single remedy, a homeopathic combination medicine, or placebo. Patients were seen by homeopathic providers every 2 months for 1 year. OUTCOME MEASURES: Hot flash frequency and severity, Kupperman Menopausal Index (KMI), Short Form 36 (SF-36). RESULTS: There was no significant difference found in the primary outcome measure, the hot flash severity score, although there was a positive trend in the single remedy group during the first 3 months of the study (p = 0.1). A statistically significant improvement in general health score in both homeopathy groups (p < 0.05) on the SF-36 after 1 year was found. Evidence of a homeopathic ""drug proving"" in the subjects receiving the homeopathic combination medicine who were not taking tamoxifen also was found. CONCLUSIONS: Small sample size precludes definitive answers, but results from this preliminary trial suggest that homeopathy may be of value in the treatment of menopausal symptoms and improving quality of life, especially in those women not on tamoxifen. Larger studies should be carried out that also include healthy women who want to avoid hormone replacement therapy.""",0
"""Randomized clinical trial comparing mitoxantrone with doxorubicin in previously treated patients with metastatic breast cancer.""","""Three hundred twenty-five women with metastatic adenocarcinoma of the breast who had failed one prior chemotherapeutic regimen for advanced disease were randomized to receive 14 mg/m2 of mitoxantrone or 75 mg/m2 of doxorubicin intravenously (IV) every 3 weeks. Enrollment was closed on October 31, 1984, after 165 patients were randomized to mitoxantrone and 160 patients to doxorubicin. Patients randomized to the two treatment groups were compared for response rate, duration of response, time to progression or death, time to treatment failure (TTF), and survival. The response rate to mitoxantrone was 20.6%, to doxorubicin 29.3% (P = .07). The median response duration was 151 days for the mitoxantrone group and 126 days for the doxorubicin group (P = .16). The median TTF was 70 days in the mitoxantrone group and 104 days in the doxorubicin group (P = .36). The median survival of patients initially randomized to receive mitoxantrone was 273 days; for doxorubicin 268 days (P = .40). There were three responses among 77 patients crossed over to mitoxantrone after initial treatment with doxorubicin. The major dose-limiting toxicity for both drugs was leukopenia. There was significantly less severe and less frequent toxicity with mitoxantrone administration. Severe nausea and vomiting occurred in 9.5% of mitoxantrone patients and 25.3% of doxorubicin patients (P less than .001). The incidence of severe stomatitis and mucositis was 0.6% in the mitoxantrone group and 8.4% in the doxorubicin group (P = .001). Severe alopecia occurred in 5.1% of mitoxantrone patients and 61.0% of doxorubicin patients (P less than .001). A life-table comparison of the cumulative dose to the development of a cardiac event showed that mitoxantrone had significantly less cardiotoxicity than doxorubicin (P = .0005). This study demonstrates that mitoxantrone is active as a single agent in the treatment of metastatic breast cancer. Compared with doxorubicin it appears to be marginally less active and significantly less toxic. We conclude that mitoxantrone can be used alone or with other standard drugs to palliate the symptoms of metastatic breast cancer, especially in settings where drug toxicity is an important consideration.""",1
"""Biomarker alterations with metronomic use of low-dose zoledronic acid for breast cancer patients with bone metastases and potential clinical significance.""","""Zoledronic acid has direct and indirect antitumor effects. However, the optimal regimen for breast cancer patients remains to be determined. This study aimed to compare biomarker changes between a weekly low dose (metronomic arm) and a conventional dosage of zoledronic acid (conventional arm), and to explore correlations between biomarkers and progression-free survival (PFS). Sixty breast cancer patients with bone metastases were randomized to receive either zoledronic acid 1 mg IV weekly for 4 doses or a single dose of zoledronic acid 4 mg IV. Administration of other treatments was delayed for 1 month. Serial blood samples were collected on days 1, 15, 29, and at 3 months. Serum VEGF alteration was the primary endpoint. Compared to the conventional arm, the metronomic arm resulted in a significantly greater reduction in serum levels of VEGF and N-telopeptide of type I collagen (NTx) over time during the first month of treatment. Serum CA 15-3 level stabilized over time in the metronomic arm, but increased in the conventional arm. Independent prognostic factors for PFS included chemotherapy received (HR, 8.042; P = 0.000), estrogen receptor status (HR, 2.837; P = 0.020), VEGF levels at 3 months after intervention (HR, 2.026; P = 0.045), and baseline NTx (HR, 1.051; P = 0.001). Metronomic low-dose zoledronic acid is more effective than the conventional regimen and generates sustained reductions in circulating VEGF and NTx levels, as well as stabilization of serum CA 15-3 levels (ClinicalTrials.gov number, NCT00524849).""",0
"""Timing of radiotherapy and outcome in patients receiving adjuvant endocrine therapy.""","""PURPOSE: To evaluate the association between the interval from breast-conserving surgery (BCS) to radiotherapy (RT) and the clinical outcome among patients treated with adjuvant endocrine therapy.PATIENTS AND METHODS: Patient information was obtained from three International Breast Cancer Study Group trials. The analysis was restricted to 964 patients treated with BCS and adjuvant endocrine therapy. The patients were divided into two groups according to the median number of days between BCS and RT and into four groups according to the quartile of time between BCS and RT. The endpoints were the interval to local recurrence, disease-free survival, and overall survival. Proportional hazards regression analysis was used to perform comparisons after adjustment for baseline factors.RESULTS: The median interval between BCS and RT was 77 days. RT timing was significantly associated with age, menopausal status, and estrogen receptor status. After adjustment for these factors, no significant effect of a RT delay äŠ_20 weeks was found. The adjusted hazard ratio for RT within 77 days vs. after 77 days was 0.94 (95% confidence interval [CI], 0.47-1.87) for the interval to local recurrence, 1.05 (95% CI, 0.82-1.34) for disease-free survival, and 1.07 (95% CI, 0.77-1.49) for overall survival. For the interval to local recurrence the adjusted hazard ratio for äŠ_48, 49-77, and 78-112 days was 0.90 (95% CI, 0.34-2.37), 0.86 (95% CI, 0.33-2.25), and 0.89 (95% CI, 0.33-2.41), respectively, relative to äŠ«113 days.CONCLUSION: A RT delay of äŠ_20 weeks was significantly associated with baseline factors such as age, menopausal status, and estrogen-receptor status. After adjustment for these factors, the timing of RT was not significantly associated with the interval to local recurrence, disease-free survival, or overall survival.""",0
"""Sleep aid use during and following breast cancer adjuvant chemotherapy.""","""BACKGROUND: Knowledge of sleep aid use is limited despite the high prevalence of insomnia among women before, during, and following breast cancer adjuvant chemotherapy treatments (CTX). This study's purpose was to (1) determine the frequency and characteristics of participants taking sleep aid(s); (2) identify the frequency and percentage of sleep aid use by category (prescription sedative/hypnotics, prescription anti-depressants, prescription analgesics, prescription anti-emetics, over-the-counter (OTC) analgesics, OTC cold/flu/sinus, OTC sleep, alcohol, and herbal supplements); and (3) compare sleep aid use by category in the experimental and control groups within a randomized-controlled clinical trial (RCT).METHODS: Longitudinal, descriptive, secondary RCT data analysis of women (n=219) receiving out-patient CTX, and at 30, 60, and 90 days following the last CTX and 1 year following CTX1. Participants recorded daily sleep aid use on a Sleep Diary. Analyses included descriptives, chi-square, and RM-ANOVA.RESULTS: Approximately 20% of participants took at least one sleep aid before CTX1; usage decreased over time (12-18%); a second sleep aid was used infrequently. Prescription sedative/hypnotics (46%) and OTC analgesics (24%) were used most frequently. OTC sleep aids were most commonly used as a second aid. Prescription sedative/hypnotics [F(7,211)=4.26, p=0.00] and OTC analgesics [F(7,211)=2.38, p=0.023] use decreased significantly over time.CONCLUSIONS: Results reflect the natural course of CTX, recovery, and healing. Comprehensive screening for sleep-wake disturbances and sleep aid use may lead to a better understanding of the risks and benefits of pharmacologic and non-pharmacologic interventions, and ultimately lead to selection of the safest and most effective treatment.""",0
"""Sleep quality after initial chemotherapy for breast cancer.""","""GOALS OF WORK: The goal of this study is to characterize sleep quality and quantity prior to and in the first three nights after initial chemotherapy for breast cancer.MATERIALS AND METHODS: This study makes use of secondary analysis of data from two separate randomized clinical trials (RCT) of behavioral interventions to improve fatigue and sleep. Patients came from two comprehensive cancer centers, three clinical cancer centers, and 10 community clinics in five states. Participants were women with stage I-IIIA breast cancer treated with anthracycline and/or cyclophosphamide-based regimens.MAIN RESULTS: Baseline data from each RCT were used in the analysis. Sixty-five percent of women self-reported poor sleep in the month preceding chemotherapy using the Pittsburgh Sleep Quality Index (PSQI) score >5. Three nights of actigraphy data indicated a wide range of sleep experience with an average of 10 awakenings and time (minutes) awake after sleep onset (WASO-M) averaging 61 min per night. The first night's sleep was the worst. There was no statistically significant relationship between self-reported poor sleep and sleep measures obtained by actigraphy. Women with poor sleep at baseline (global PSQI >5) had significantly lower (p < 0.001) physical (PCS) and mental (MCS) health status. However, neither the PCS nor MCS was associated with any of the average actigraphy sleep parameters or night 1 parameters in the aggregated sample. Increasing age was also associated with poorer sleep.CONCLUSIONS: A high percent of women with breast cancer begin chemotherapy with disturbed sleep and the initial nights after chemotherapy are characterized by sleep fragmentation that disrupts sleep maintenance. Interventions should focus on strategies to decrease the number and duration of night awakenings. Further research is needed to identify predictors of poor sleep during this time.""",0
"""A randomized trial of minoxidil in chemotherapy-induced alopecia.""","""BACKGROUND: Hair loss is a side effect of many chemotherapeutic agents, and patients have even refused possibly palliative or lifesaving drugs because they could not accept temporary or prolonged baldness. Topical minoxidil has been shown to be effective for androgenetic alopecia and alopecia areata. OBJECTIVE: Our purpose was to investigate the value and safety of minoxidil in chemotherapy-induced hair loss. METHODS: Twenty-two women who were facing adjuvant chemotherapy after breast surgery were registered in a protocol that used a 2% minoxidil topical solution or a placebo in a randomized double-blind trial. RESULTS: There was a statistically significant difference (favoring minoxidil) in the interval from maximal hair loss to first regrowth. Thus the period of baldness was shortened (mean, 50.2 days) in the minoxidil group. CONCLUSION: Minoxidil decreased the duration of alopecia caused by chemotherapy. There were no significant side effects.""",0
"""Efficacy of adjuvant chemotherapy in high-risk node-negative breast cancer. An intergroup study.""","""We randomly assigned 536 women who had undergone either a modified radical mastectomy or a total mastectomy with low axillary-node dissection for potentially curable breast carcinoma to receive adjuvant chemotherapy or no-treatment observation. The patients were considered at high risk for recurrence because they had either an estrogen-receptor-negative tumor of any size or an estrogen-receptor-positive tumor at least 3 cm in diameter with no histopathological evidence of axillary-node involvement. The chemotherapy consisted of six four-week cycles of cyclophosphamide (100 mg per square meter of body-surface area orally on days 1 through 14), methotrexate (40 mg per square meter intravenously on days 1 and 8), fluorouracil (600 mg per square meter intravenously on days 1 and 8), and prednisone (40 mg per square meter orally on days 1 through 14). Treatments were balanced with respect to patients' characteristics. The analysis included 406 eligible patients who were entered in the study before October 1, 1987. The overall disease-free survival among patients treated with the four-drug regimen was 84 percent, as compared with 69 percent for the control group, at a median follow-up of three years (P = 0.0001). A treatment benefit was also observed in premenopausal and postmenopausal patients as well as in patients with estrogen-receptor-positive or with estrogen-receptor-negative tumors. Severe or life-threatening hematologic toxicity was encountered in 33 percent of the treated patients, with one death. Our results indicate that adjuvant chemotherapy with six cycles of cyclophosphamide, methotrexate, fluorouracil, and prednisone is effective in improving three-year disease-free survival among high-risk patients with axillary-node-negative, operable breast cancer. An analysis of the effect of treatment on survival awaits a longer follow-up.""",1
"""ERBB2 amplification is associated with tamoxifen resistance in steroid-receptor positive breast cancer.""","""Amplification and overexpression of the ERBB2 (HER-2/neu) oncogene has been implicated as contributing to the development of human breast cancer, and as a predictor of poor survival. In the present non-randomized study of 871 primary invasive breast tumours, ERBB2 activation was significantly correlated to a shorter disease-free and overall survival in the subgroup of patients receiving adjuvant tamoxifen therapy, but not in the untreated group. Further subcategorization demonstrated the relationship to poor prognosis to be confined to lymph node positive and steroid receptor-positive tumours. We suggest that steroid receptor and ERBB2-positive breast tumours are resistant to tamoxifen therapy and, supported by experimental evidence showing an oestrogen receptor dependent up-regulation of ERBB2 expression upon tamoxifen administration, possibly even growth stimulated by the drug.""",0
"""Prospective study of long-term impact of adjuvant high-dose and conventional-dose chemotherapy on health-related quality of life.""","""PURPOSE: To evaluate and compare health-related quality of life (HRQOL) after conventional- and high-dose adjuvant chemotherapy in patients with high-risk breast cancer. PATIENTS AND METHODS: Patients were randomly assigned to either a conventional or high-dose chemotherapy regimen; both regimens were followed by radiotherapy and tamoxifen. HRQOL was evaluated until disease progression using the Short Form-36 (SF-36), Visual Analog Scale, and Rotterdam Symptom Checklist and assessed every 6 months for 5 years after random assignment. For the SF-36, data from healthy Dutch women with the same age distribution served as reference values. RESULTS: Eight hundred four patients (conventional-dose chemotherapy, n = 405; high-dose chemotherapy, n = 399) were included. Median follow-up time was 57 months. Directly after high-dose chemotherapy, HRQOL decreased more compared with conventional chemotherapy for all SF-36 subscales. After 1 year, the reference value of healthy women was reached in both groups. Small differences were observed between the two groups in the role-physical and role-emotional subscales, but 1 year after treatment, these differences were minor and not clinically relevant. During follow-up, patients with a lower educational level and many complaints before chemotherapy experienced a worse HRQOL. CONCLUSION: Shortly after high-dose chemotherapy, HRQOL was more affected than after conventional-dose chemotherapy. One year after random assignment, differences were negligible. Identifying patients who have a higher chance of persistent impaired quality of life after treatment (which, in the present study, included patients with a lower educational level and many complaints before chemotherapy) is important and may open the way for better patient-tailored prevention strategies.""",0
"""Adjuvant chemotherapy with cyclophosphamide, methotrexate, and 5-fluorouracil, vincristine, and prednisone compared with single-agent L-phenylalanine mustard for patients with operable breast carcinoma and positive axillary lymph nodes: 20-year results of a Southwest Oncology Group study.""","""BACKGROUND: Adjuvant combination chemotherapy with cyclophosphamide, methotrexate, and 5-fluorouracil plus vincristine and prednisone (CMFVP) was compared with single-agent L-phenylalanine mustard (L-PAM) for the treatment of patients with axillary lymph node positive primary breast carcinoma over 20-years of follow-up. METHODS: Four hundred forty-one women with axillary lymph node positive breast carcinoma were randomized to receive either combination chemotherapy with cyclophosphamide (60 mg/m(2) orally every day for 1 year), fluorouracil (300 mg/m(2) intravenously [IV] weekly for 1 year), methotrexate (15 mg/m(2) IV weekly for 1 year), vincristine (0.625 mg/m(2) IV for 10 weeks), prednisone (30 mg/m(2) orally on Days 1-14, 20 mg/m(2) on Days 15-28, and 10 mg/m(2) on Days 29-42), or single-agent chemotherapy with L-PAM (5 mg/m(2) orally every day for 5 days every 6 weeks for 2 years) after undergoing surgery. Patients were stratified according to menopausal status and number of positive lymph nodes (1-3 positive lymph nodes or > 3 positive lymph nodes). Seventy-seven patients were ineligible. RESULTS: The maximum follow-up is 24 years, with a median follow-up of 21.5 years. Disease free survival and overall survival were superior with CMFVP (two-sided log-rank test; P = 0.0008 and P = 0.007, respectively). For all patients, the estimated 20-year survival rate of patients who received CMFVP was 40% compared with 27% for patients who received L-PAM. There was a substantial survival benefit for CMFVP compared with L-PAM in the subsets of premenopausal patients and patients with four or more positive lymph nodes. The estimated 20-year survival rate for premenopausal women who received CMFVP was 49% compared with 33% for premenopausal women who received L-PAM. Among women with > or = 4 positive lymph nodes, the estimated survival rate for patients who received CMFVP was 31% compared with 15% for patients who received L-PAM. Both regimens were tolerated well. Toxicity was more severe and frequent among patients who received CMFVP. CONCLUSIONS: The authors conclude that, after 20 years of follow-up, adjuvant chemotherapy with CMFVP remains superior to L-PAM for the treatment of patients with lymph node positive breast carcinoma.""",1
"""Clinical controlled trial in advanced breast cancer: CMFV (cyclophosphamide, methotrexate, fluorouracil, vincristine) verus CD (carminomycin, dibromodulcitol).""","""A controlled study with two independent cytostatic combinations in advanced breast cancer was performed in total 236 patients. Results of the treatment in 218 evaluable patients are reported. The first combination included cyclophosphamide, methotrexate, 5-fluorouracil, and vincristine (CMFV, 108 patients), the second one carminomycin and dibromodulcitol (CD, 110 patients), both treatments having been administered intermittently. Those patients who became resistant to the first applied schedule or those after five CD cycles, were crossed over to the alternative schedule. Patients were perspectively stratified according to dominant sites of metastases and randomized then to the treatment schedule. Overall response (CR + PR + MR) was achieved in CMFV combination in 35/108 patients (32%), conventional response (CR + PR) in 31/108 patients (29%), complete response (CRP) in 7/108 patients (7%). In CD combination the corresponding values were 34/110 (31%), 27/110 (25%), 1/100 (1%). Response (CR + PR) in patients crossed over from CMFV to CD was seen in 2/37 patients (5%), and from CD to CMFV in 4/36 patients (11%). Median duration of response observed in the CMFV combination was 5.5 months (range 1-12 + months), in the CD combination 4.5 months (range 1-15 months). Toxic reactions were reversible, grade 3 and 4 cardiotoxicity in the CD combination in 4% of patients in the primary treatment and in 14% in patients when crossed over from the primary treatment and in 14% in patients when crossed over from the primary CMFV regimen.""",1
"""Clodronate for osteolytic metastases due to breast cancer.""","""Breast-cancer patients with multiple osteolytic bone metastases were treated with clodronate (Cl2MDP) 1.6 g/day (17 patients) or placebo (17 patients) for 12 months. Bone pain, extension of bone metastases and formation of new osteolytic foci were reduced by Cl2MDP, and development of severe hypercalcaemia was prevented. After withdrawal of treatment, the patients were followed up for at least 12 months. New bone metastases developed in both groups. There were, however, less fractures and less hypercalcaemia in the Cl2MDP than in the placebo group. The survival rate was higher in the Cl2MDP group than in the placebo group. No side-effects were observed in the Cl2MDP group.""",0
"""Mitozantrone and methotrexate chemotherapy with and without mitomycin C in the treatment of advanced breast cancer: a randomised clinical trial.""","""Patients with advanced breast cancer were randomised to 3M (mitozantrone 6.5 mg/m2q 21 days, methotrexate 30 mg/m2q 21 days, mitomycin C 6.5 mg/m2q 42 days) or 2M (as 3M but without mitomycin C). The objective response rates of 30% in 51 evaluable patients receiving 3M and 26% of 54 patients receiving 2M were not significantly different. 4/16 patients not responding to 2M responded to 3M on crossover. Both regimes were well tolerated but there was significantly less haematological toxicity and fewer dose reductions and delays with 2M. We conclude that patients should initially be treated with 2M and that non-responding patients should be crossed to 3M.""",1
"""Independent review of E2100: a phase III trial of bevacizumab plus paclitaxel versus paclitaxel in women with metastatic breast cancer.""","""PURPOSE: E2100, an open-label, randomized, phase III trial conducted by the Eastern Cooperative Oncology Group (ECOG), demonstrated a significant improvement in progression-free survival (PFS) and overall response rate (ORR) with paclitaxel plus bevacizumab compared with paclitaxel alone as initial chemotherapy for patients with HER2-negative metastatic breast cancer. METHODS: An independent, blinded review of radiologic and clinical data was performed, assessing progression and response according to Response Evaluation Criteria in Solid Tumors. In addition, ECOG's investigator assessments were reanalyzed using the same methods applied to the independent review. The primary end point was PFS as assessed by an independent review facility (IRF). RESULTS: The addition of bevacizumab to paclitaxel resulted in a statistically significant improvement in PFS using both the IRF and investigator assessments. Hazard ratios for PFS (0.48, 95% CI, 0.385 to 0.607; P < .0001 for the IRF v 0.42, 95% CI, 0.34 to 0.52; P < .0001 for ECOG investigators) and the improvement in median PFS (11.3 v 5.8 months for the IRF v 11.4 v 5.8 months for ECOG investigators) were similar. Among patients with measurable disease at baseline, the IRF-assessed ORR was significantly higher in patients treated with paclitaxel and bevacizumab (48.9% v 22.2%; P < .0001). CONCLUSION: The risk of progression was reduced by more than half and the ORR more than doubled with the addition of bevacizumab to weekly paclitaxel in both analyses, confirming a substantial and robust bevacizumab treatment effect. The consistency between the IRF and ECOG analyses validates the original data previously reported by ECOG in this open-label trial.""",0
